dup_group,directory,filename_min,filename_max,modified_time_mean,file_count
photo/2014-10-11photo/mette iphone dec 13photo/iphonemette 150925/860OKMZOphoto/2013/Iphone mette 2013photo/DCIM/860OKMZOphoto/iph me 141207photo/iphone mette 141107/860OKMZOphoto/mette,photo/DCIM/860OKMZO,IMG_0649.JPG,IMG_0649.JPG,2013-02-26 12:27:07.000000,1
photo/Canon Minneskort 2015-06/iphone per 151014photo/iph per 150615photo/usa2015photo/iphone per bkp,photo/usa2015,IMG_20150531_091349.JPG,IMG_20150531_091349.JPG,2015-05-31 09:13:49.000000,1
photo/Canon Minneskort 2015-06/iphone per 151014photo/iph per 150615photo/usa2015photo/iphone per bkp,photo/iphone per bkp,IMG_20150531_091349.JPG,IMG_20150531_091349.JPG,2015-05-31 09:13:49.000000,1
photo/Canon Minneskort 2015-06/iphone per 151014photo/iph per 150615photo/usa2015photo/iphone per bkp,photo/iph per 150615,IMG_20150531_091349.JPG,IMG_20150531_091349.JPG,2015-05-31 09:13:49.000000,1
photo/Canon Minneskort 2015-06/iphone per 151014photo/iph per 150615photo/usa2015photo/iphone per bkp,photo/Canon Minneskort 2015-06/iphone per 151014,IMG_20150531_091349.JPG,IMG_20150531_091349.JPG,2015-05-31 09:13:49.000000,1
photo/Canon Minneskort 2015-06/iphone per 151014photo/2016-12/julbok2015/07-14 niagara,photo/Canon Minneskort 2015-06/iphone per 151014,IMG_20150714_163156.JPG,IMG_20150714_163156.JPG,2015-12-05 09:45:56.949000,1
photo/2014-10-11photo/mette iphone dec 13photo/iphonemette 150925/860OKMZOphoto/2013/Iphone mette 2013photo/DCIM/860OKMZOphoto/iph me 141207photo/iphone mette 141107/860OKMZOphoto/mette,photo/iph me 141207,IMG_20130226_122706.JPG,IMG_20130226_122706.JPG,2013-02-26 12:27:06.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/iphonemette 150925/860OKMZOphoto/2013/Iphone mette 2013photo/DCIM/860OKMZOphoto/iphone mette 141107/860OKMZOphoto/mette,photo/2013/Iphone mette 2013,IMG_20130616_122533.JPG,IMG_20130616_122533.JPG,2013-06-16 12:25:33.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/iphonemette 150925/860OKMZOphoto/2013/Iphone mette 2013photo/DCIM/860OKMZOphoto/iph me 141207photo/iphone mette 141107/860OKMZOphoto/mette,photo/iphone mette 141107/860OKMZO,IMG_0649.JPG,IMG_0649.JPG,2013-02-26 12:27:07.000000,1
photo/Canon Minneskort 2014-12 -- 2015-06-13/2014-12photo/Canon Minneskort 2014-12 -- 2015-03/DCIM/103CANONphoto/2014/2014-12,photo/Canon Minneskort 2014-12 -- 2015-06-13/2014-12,IMG_6921.JPG,IMG_6921.JPG,2014-12-11 20:51:24.000000,1
photo/Canon Minneskort 2014-12 -- 2015-06-13/2014-12photo/Canon Minneskort 2014-12 -- 2015-03/DCIM/103CANONphoto/2014/2014-12,photo/Canon Minneskort 2014-12 -- 2015-03/DCIM/103CANON,IMG_6921.JPG,IMG_6921.JPG,2014-12-11 19:51:26.000000,1
photo/Canon Minneskort 2014-12 -- 2015-06-13/2014-12photo/Canon Minneskort 2014-12 -- 2015-03/DCIM/103CANONphoto/2014/2014-12,photo/2014/2014-12,IMG_6921.JPG,IMG_6921.JPG,2014-12-11 20:51:24.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/iphonemette 150925/860OKMZOphoto/2013/Iphone mette 2013photo/DCIM/860OKMZOphoto/iph me 141207photo/iphone mette 141107/860OKMZOphoto/mette,photo/iphonemette 150925/860OKMZO,IMG_0649.JPG,IMG_0649.JPG,2013-02-26 12:27:07.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/iphonemette 150925/860OKMZOphoto/2013/Iphone mette 2013photo/DCIM/860OKMZOphoto/iph me 141207photo/iphone mette 141107/860OKMZOphoto/mette,photo/mette,IMG_20130226_122706.jpg,IMG_20130226_122706.jpg,2013-02-26 12:27:06.000000,1
photo/2014-10-11photo/mette iphone dec 13photo/iphonemette 150925/860OKMZOphoto/2013/Iphone mette 2013photo/DCIM/860OKMZOphoto/iph me 141207photo/iphone mette 141107/860OKMZOphoto/mette,photo/mette iphone dec 13,IMG_20130226_122706.jpg,IMG_20130226_122706.jpg,2013-02-26 12:27:06.000000,1
photo/DCIM/823WGTMA/Islandphoto/2014-10-11photo/2013/Iphone mette 2013photo/iphone mette 141107/823WGTMAphoto/mettephoto/iphonemette 150925/823WGTMAphoto/mette iphone dec 13,photo/mette,IMG_20130709_142221.jpg,IMG_20130709_142221.jpg,2013-07-09 14:22:21.000000,1
photo/DCIM/823WGTMA/Islandphoto/2014-10-11photo/2013/Iphone mette 2013photo/iphone mette 141107/823WGTMAphoto/mettephoto/iphonemette 150925/823WGTMAphoto/mette iphone dec 13,photo/mette iphone dec 13,IMG_20130709_142221.jpg,IMG_20130709_142221.jpg,2013-07-09 14:22:21.000000,1
photo/DCIM/823WGTMA/Islandphoto/iphone mette 141107/823WGTMAphoto/2014-10-11photo/mette iphone dec 13photo/iphonemette 150925/823WGTMAphoto/mettephoto/2013/Iphone mette 2013,photo/2013/Iphone mette 2013,IMG_20130708_171633.JPG,IMG_20130708_171633.JPG,2013-07-08 17:16:33.000000,1
photo/DCIM/823WGTMA/Pyreneérna 2014photo/iphonemette 150925/823WGTMAphoto/2014/Iphone mette 2014photo/iphone mette 141107/823WGTMAphoto/2014-10-11,photo/iphone mette 141107/823WGTMA,IMG_1427.JPG,IMG_1427.JPG,2014-07-09 18:03:42.000000,1
photo/DCIM/823WGTMAphoto/2013/Iphone mette 2013photo/iphonemette 150925/823WGTMAphoto/iphone mette 141107/823WGTMAphoto/2014-10-11photo/mette iphone dec 13,photo/2013/Iphone mette 2013,IMG_20130808_123657.JPG,IMG_20130808_123657.JPG,2013-08-08 12:36:57.000000,1
photo/DCIM/823WGTMA/Pyreneérna 2014photo/iphonemette 150925/823WGTMAphoto/iphone mette 141107/823WGTMAphoto/2014/Iphone mette 2014photo/2014-10-11,photo/iphonemette 150925/823WGTMA,IMG_1428.JPG,IMG_1428.JPG,2014-07-09 18:22:59.000000,1
photo/DCIM/823WGTMA/Pyreneérna 2014photo/iphonemette 150925/823WGTMAphoto/iphone mette 141107/823WGTMAphoto/2014/Iphone mette 2014photo/2014-10-11,photo/iphone mette 141107/823WGTMA,IMG_1428.JPG,IMG_1428.JPG,2014-07-09 18:22:59.000000,1
photo/DCIM/823WGTMA/Pyreneérna 2014photo/iphonemette 150925/823WGTMAphoto/iphone mette 141107/823WGTMAphoto/2014/Iphone mette 2014photo/2014-10-11,photo/DCIM/823WGTMA/Pyreneérna 2014,IMG_1428.JPG,IMG_1428.JPG,2014-07-09 18:22:59.000000,1
photo/DCIM/823WGTMA/Pyreneérna 2014photo/iphonemette 150925/823WGTMAphoto/iphone mette 141107/823WGTMAphoto/2014/Iphone mette 2014photo/2014-10-11,photo/2014/Iphone mette 2014,IMG_20140709_182256.JPG,IMG_20140709_182256.JPG,2014-07-09 18:22:56.000000,1
